Roles	Users	OID	OptimisticLockField
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{1042B0A2-AB6A-4FFD-BEB9-FEF886F2AC71}	{A5DA0A5C-74EF-4863-AD88-52C6D3A7FCE1}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{CDB57193-1805-4999-B5AA-99D88CF18C69}	{C07F89EE-1E73-4AC2-AA56-5487C6263D5A}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{A41A92DE-E3FD-4083-8F74-A56FF6F8483B}	{96212D60-90E2-470E-A11A-5565CEF5C0EE}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{5C74BF4B-2DE7-418A-8091-2C89D33EBCB8}	{17BD92EC-8E31-4EA2-822E-55680312519C}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{337FF2B2-B082-4BB0-AFA7-52A2F4673B5F}	{123B3BAE-94F5-407A-9AA2-55F1EF63B4F6}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{D923BD60-EC8A-4042-BDFE-EBF2518C7FA2}	{164D1800-4B1B-4B11-85BD-57B7C7ED98AF}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{1EDCC1EE-10EB-46C5-9BD9-78DAA1AADB87}	{36DDAB97-0597-4607-BF47-58AF739DBE7C}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{5BAE3CFA-A3BE-41F9-B3D4-14BAAABA8732}	{F1821D28-2E1D-448D-BB31-5965CF9404D2}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{5DFC923D-6280-487B-B5C2-62E829A7570F}	{A9A510D1-DEAD-41CF-8816-5AA424946EAD}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{916337CF-3C78-4708-9F25-209A042CA192}	{EEC50EE8-A7C1-4687-8DC2-5B31B321F2ED}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{EA821541-6030-42D6-90FF-954B4149F6C5}	{2872230D-FD7A-45F3-B2EB-5BF5AF467132}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{6B03DB79-0290-4B63-A8F6-6CE81E6DD34C}	{CBB984C5-E859-4415-BCF1-5C076DCB2A89}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{3C14C668-082B-4CB9-9C23-7951AE36846B}	{9563F9EA-34EE-4117-86D0-5C45B2A59C10}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{661E5DE9-D101-4CDA-8457-FF1731D4E794}	{ED9C36EA-A8CD-4B2F-A2E3-5CAA3D621BEB}	0
